,type,compound_score,pos_score,neg_score,neu_score,ellipses,exclamation,question,links
2568,INTP,0.145436,0.1393,0.11076000000000001,0.7499799999999999,39,9,8,0
2569,INFJ,0.20060199999999997,0.15172,0.04118,0.8071200000000001,15,2,2,8
2570,INFP,0.019755999999999992,0.09356,0.08816,0.81828,13,1,10,8
2571,INTP,0.34852799999999995,0.17326000000000005,0.04514,0.7816,32,5,8,0
2572,INFJ,0.14345000000000002,0.12852,0.06362,0.80782,36,24,5,4
2573,INFP,0.23201799999999997,0.15524000000000002,0.06636,0.7783599999999999,30,2,9,2
2574,INFJ,0.24025999999999992,0.13858,0.05932,0.8021,39,16,4,0
2575,INFJ,0.261142,0.17745999999999998,0.08792,0.7346399999999998,24,7,6,0
2576,ENFP,0.383722,0.16884,0.025699999999999997,0.8054600000000001,42,16,5,24
2577,INFJ,0.28151000000000004,0.17867999999999998,0.07316,0.74816,48,5,12,4
2578,ISTJ,0.38589199999999996,0.15889999999999999,0.0489,0.7921799999999999,40,6,1,0
2579,ISFP,0.17772799999999997,0.13522,0.0529,0.81184,18,0,10,1
2580,INFP,0.09677,0.11504000000000002,0.0836,0.80134,14,7,7,8
2581,ISFP,0.32673,0.19426,0.0541,0.7516999999999999,23,54,5,0
2582,INFP,0.01652,0.08594000000000002,0.07282,0.8412799999999998,35,0,10,18
2583,INFJ,0.308836,0.16304000000000002,0.04636,0.7905800000000001,29,0,12,5
2584,INFJ,0.09158253968253965,0.0918095238095238,0.05561904761904762,0.6938888888888888,19,6,16,0
2585,ENTP,0.40792777777777783,0.2702222222222222,0.07691666666666666,0.652888888888889,20,23,8,1
2586,INTJ,0.14108600000000002,0.11892,0.06712000000000001,0.81392,23,0,18,2
2587,INFJ,0.11689200000000004,0.13082000000000002,0.07418,0.7950400000000001,26,1,6,7
2588,INFJ,0.007056000000000004,0.08066,0.10578,0.81354,25,2,18,0
2589,ISFJ,0.12295400000000001,0.11298,0.057699999999999994,0.82928,24,5,10,2
2590,INTJ,0.152892,0.11678,0.06103999999999999,0.8222199999999998,37,0,14,2
2591,INTP,0.192428,0.1562,0.07656,0.7672200000000001,29,3,4,2
2592,INFP,-0.07324516129032259,0.13222580645161292,0.1311290322580645,0.7366774193548389,10,1,3,1
2593,INTP,0.17462599999999998,0.15632000000000001,0.1013,0.7424000000000001,24,4,13,1
2594,INTP,0.100824,0.10766,0.07078000000000001,0.8216,18,8,9,1
2595,ISTJ,-0.109458,0.10153999999999998,0.12300000000000001,0.7754000000000001,37,1,22,1
2596,INTJ,0.536866,0.21838000000000002,0.05648,0.7251000000000001,50,33,15,0
2597,ENFP,0.012304000000000002,0.10408,0.08532000000000001,0.8105999999999999,24,0,2,4
2598,INTP,0.08676800000000001,0.13286,0.11612000000000001,0.75104,25,7,10,1
2599,INTP,0.043651999999999996,0.10007999999999999,0.08556,0.81434,42,0,6,1
2600,INFP,0.19044200000000003,0.13812000000000002,0.09086,0.7709600000000001,44,6,7,5
2601,ENTP,0.3563628571428571,0.1622857142857143,0.05911428571428571,0.7786857142857143,37,41,11,0
2602,INTJ,0.07237600000000002,0.09975999999999999,0.07476000000000001,0.82554,37,0,9,0
2603,INTJ,0.27763421052631576,0.1970526315789474,0.06207894736842105,0.7408684210526315,28,2,10,5
2604,INTJ,0.16998799999999994,0.1085,0.0717,0.8197999999999999,37,1,17,0
2605,INTJ,0.16864199999999996,0.1527,0.0548,0.7925200000000001,25,3,11,0
2606,INFP,0.12153800000000001,0.12391999999999999,0.06831999999999999,0.8077199999999999,21,1,9,1
2607,INFP,0.23623255813953487,0.17062790697674418,0.08353488372093024,0.7457441860465116,40,3,2,0
2608,ESTP,0.12401,0.10352,0.09023999999999999,0.80622,21,1,6,7
2609,INFP,0.31083800000000006,0.1383,0.05374,0.8079599999999999,36,18,12,4
2610,ENFJ,0.4561842105263157,0.221421052631579,0.011999999999999999,0.7665789473684211,7,1,2,2
2611,INTP,0.1627275,0.108975,0.05770000000000001,0.8333,97,0,3,0
2612,ENFJ,0.295652,0.17643999999999999,0.04664000000000001,0.7769000000000001,13,6,22,12
2613,ISFJ,0.30176200000000003,0.16994,0.07554,0.75448,43,9,0,0
2614,ENFP,0.302034,0.18231999999999998,0.06356,0.75406,24,31,21,2
2615,ISTJ,0.28409599999999996,0.1568,0.07001999999999999,0.7732000000000001,42,3,4,0
2616,INFP,0.05226000000000001,0.13207999999999998,0.12304,0.7449199999999999,31,8,9,0
2617,INFP,0.2937,0.14874,0.03904,0.8122400000000002,16,18,3,14
2618,ISTP,0.008017948717948718,0.12282051282051282,0.13215384615384615,0.744974358974359,5,0,10,0
2619,INFP,0.23415800000000003,0.13692000000000001,0.0617,0.8013799999999999,21,1,7,0
2620,ENTP,0.20022500000000001,0.134875,0.07016666666666667,0.7949375000000001,50,1,7,0
2621,INFP,0.20078,0.13677999999999998,0.07894,0.7841999999999999,36,1,3,1
2622,INFJ,0.040734000000000006,0.10856,0.07221999999999999,0.8192199999999998,8,1,12,25
2623,INFP,0.259628,0.16732,0.1093,0.7234199999999998,45,28,9,0
2624,INFP,0.440862,0.22782,0.04508,0.72706,32,63,7,1
2625,INTJ,0.13986600000000002,0.14839999999999998,0.11346,0.73814,31,2,23,0
2626,INFP,0.031681999999999995,0.07392,0.06364,0.86248,36,0,7,0
2627,INFP,0.220846,0.1625,0.09961999999999999,0.7178999999999999,41,5,7,0
2628,ENFP,0.299206,0.18874,0.09592,0.71538,26,41,10,3
2629,INTP,0.17109000000000002,0.13766,0.08285999999999999,0.7794599999999999,24,0,11,1
2630,ENTP,0.13560799999999998,0.12184,0.08916,0.78904,43,3,12,0
2631,INFJ,0.13375,0.17176,0.08226000000000001,0.74604,91,7,9,0
2632,INFJ,0.350762,0.16564,0.05832000000000001,0.7760000000000001,47,18,3,1
2633,ISTP,0.034594,0.12260000000000001,0.08904,0.7884800000000002,25,7,2,1
2634,ISTP,0.16319,0.14318,0.052219999999999996,0.80458,11,1,6,20
2635,INFP,0.5677878787878787,0.3849090909090909,0.03275757575757576,0.5822121212121213,14,28,2,0
2636,INFP,0.08130000000000001,0.15380000000000002,0.1262,0.7199000000000001,32,8,7,2
2637,INTP,0.10498400000000001,0.10256,0.05859999999999999,0.83878,34,2,2,0
2638,INFJ,0.153734375,0.12090624999999999,0.0838125,0.7952812499999999,25,1,6,0
2639,ENFP,0.42534000000000005,0.22042000000000006,0.05238000000000001,0.72718,39,22,6,0
2640,INFJ,0.010797999999999995,0.08030000000000001,0.07454,0.84516,6,1,5,1
2641,INFJ,0.224634,0.13986,0.04762,0.8124799999999999,25,1,0,3
2642,ESTP,0.3230900000000001,0.17881999999999998,0.06236,0.75882,41,6,21,0
2643,INFJ,0.21868799999999997,0.1775,0.11624000000000001,0.7063000000000001,26,12,1,3
2644,INTP,0.14410799999999999,0.14772,0.10501999999999999,0.7472799999999999,30,0,10,0
2645,ENTP,0.013701999999999985,0.13414,0.13276,0.7330399999999999,21,1,16,0
2646,INFP,0.06025,0.16034000000000004,0.12354,0.71602,23,0,12,0
2647,INFJ,0.45138,0.37799999999999995,0.036239999999999994,0.5857600000000001,9,11,7,0
2648,INFJ,0.193494,0.14923999999999998,0.05382,0.797,30,0,10,3
2649,INTJ,-0.016325999999999993,0.09022000000000001,0.09862,0.8111600000000001,27,3,7,0
2650,ISFP,0.180988,0.18334,0.11513999999999999,0.70152,18,6,10,2
2651,INFP,0.354934,0.16124,0.04926,0.78944,38,11,13,1
2652,INFP,0.101308,0.1246,0.09186000000000001,0.7835,39,9,4,1
2653,ENTP,0.139684,0.16036,0.07719999999999999,0.76252,36,4,8,0
2654,INTJ,0.19035000000000005,0.23768,0.058179999999999996,0.70414,6,3,3,0
2655,ENTP,0.26799599999999996,0.18446,0.08175999999999999,0.73384,8,2,9,1
2656,INTP,0.218344,0.10426,0.045459999999999993,0.85024,42,1,12,4
2657,INTJ,0.1789268292682927,0.1328536585365854,0.081,0.7860975609756099,39,9,7,1
2658,INTP,-0.023549999999999995,0.09882000000000002,0.09519999999999999,0.8059799999999998,52,3,13,3
2659,ENFJ,0.260166,0.14151999999999998,0.05436,0.80408,42,0,7,1
2660,ISTP,0.036768,0.09364,0.07932,0.8270400000000001,4,2,16,5
2661,ENTP,0.19992600000000002,0.10214000000000001,0.04850000000000001,0.84934,29,2,4,5
2662,INFJ,0.293898,0.15734,0.05006,0.79258,39,25,4,5
2663,INFJ,0.185622,0.1017,0.07665999999999999,0.8216799999999997,39,7,7,1
2664,INTJ,0.18630227272727273,0.14552272727272728,0.06477272727272729,0.7897272727272727,36,0,11,1
2665,ISFP,0.262274,0.233,0.10552000000000002,0.6614399999999999,13,0,5,6
2666,INFP,0.23229166666666667,0.12245833333333334,0.05366666666666666,0.8238958333333333,23,3,5,4
2667,ENTP,0.346556,0.16585999999999998,0.051399999999999994,0.7827400000000001,34,6,9,0
2668,INTJ,0.16530799999999998,0.12006,0.06494,0.8150000000000002,43,0,4,3
2669,INFP,0.26424285714285717,0.13823809523809524,0.058333333333333334,0.8034285714285714,33,10,19,1
2670,INTP,0.25609799999999994,0.14828,0.05924,0.79256,27,2,14,1
2671,INTJ,0.14912799999999998,0.1576,0.07168000000000001,0.7707199999999998,27,6,10,6
2672,ENFP,0.30720600000000003,0.21924,0.06502,0.71576,34,6,7,0
2673,INTP,0.10828163265306123,0.13287755102040816,0.08022448979591837,0.7868571428571428,24,13,5,5
2674,ISTP,0.4337339999999999,0.1766,0.05006,0.77334,46,18,7,0
2675,INTP,0.180014,0.13876000000000002,0.08342,0.77778,39,10,9,2
2676,INTP,0.33964000000000005,0.16,0.04628,0.7937400000000001,33,7,5,0
2677,INTP,0.23780600000000005,0.11842000000000001,0.056799999999999996,0.8248399999999999,37,1,8,1
2678,INTP,0.222522,0.11878,0.03396,0.84726,18,2,10,15
2679,INTJ,0.25072,0.1506,0.06167999999999999,0.7876000000000001,41,1,9,1
2680,INFP,0.11289799999999998,0.11948,0.06879999999999999,0.81174,24,5,5,13
2681,INFJ,0.215554,0.17304000000000003,0.08344,0.7435400000000001,26,9,7,0
2682,INTJ,0.26188799999999995,0.13876,0.04074,0.82052,21,2,10,16
2683,INFJ,0.07164000000000001,0.11818,0.10083999999999999,0.7810599999999998,36,3,12,10
2684,INFP,0.122194,0.12946,0.09881999999999999,0.7716799999999998,22,2,4,1
2685,INFP,0.23800294117647058,0.24355882352941172,0.07964705882352942,0.6767941176470589,3,1,3,7
2686,ESFP,0.09264599999999999,0.13356,0.07596,0.7905,35,5,7,3
2687,ENFJ,0.05307999999999998,0.13050000000000003,0.10039999999999999,0.76908,24,4,19,0
2688,INTJ,0.16332199999999997,0.13798,0.08784,0.75412,40,9,9,0
2689,INFJ,0.150266,0.13698,0.08968,0.7733999999999999,14,18,6,10
2690,INTP,0.21275399999999997,0.14900000000000002,0.06436,0.78664,41,7,2,0
2691,ENTP,0.265656,0.16244000000000003,0.05431999999999999,0.7832600000000001,25,2,3,0
2692,ISTP,0.073844,0.15078000000000003,0.10646000000000001,0.7428400000000001,14,1,5,5
2693,INTJ,0.18277200000000002,0.08236,0.03526,0.8824,28,2,11,7
2694,ESTJ,0.290476,0.20752000000000004,0.0362,0.7563,13,1,10,3
2695,INTJ,0.009192000000000007,0.09932,0.11675999999999999,0.78388,13,1,1,0
2696,ENTP,0.291946,0.17825999999999997,0.03504,0.7867200000000001,21,33,30,11
2697,INFJ,0.28717400000000004,0.19298,0.08024,0.7268199999999999,28,3,7,13
2698,INFP,0.20967,0.14522000000000002,0.07860000000000002,0.77616,37,11,9,4
2699,ENFJ,0.154178,0.1097,0.052700000000000004,0.83758,34,1,6,10
2700,INFP,0.279468,0.1465,0.05792,0.7955200000000001,44,1,8,2
2701,INFJ,0.40909599999999996,0.15928,0.04564,0.7950599999999999,38,0,3,0
2702,INTJ,0.283352,0.14524,0.06616,0.7886,19,3,11,3
2703,ENFJ,0.30762399999999995,0.1463,0.05938000000000001,0.7942999999999999,31,6,13,0
2704,INFJ,0.39090400000000003,0.15886,0.03216,0.8089800000000001,25,0,8,1
2705,INFJ,-0.031605999999999995,0.08658000000000002,0.10848,0.8048800000000002,38,0,12,2
2706,ENFP,0.348356,0.18686,0.050440000000000006,0.76274,34,46,10,2
2707,INFJ,0.06134799999999999,0.13682,0.10168,0.7614599999999999,38,2,3,2
2708,ISTP,0.27777799999999997,0.16108,0.07075999999999999,0.76812,27,5,11,1
2709,INFJ,0.126786,0.12944000000000003,0.07370000000000002,0.79692,29,3,5,4
2710,ISTP,0.254072,0.16142,0.04108,0.7975,19,0,3,1
2711,INTP,0.07900600000000002,0.13432,0.08363999999999999,0.78206,39,1,7,2
2712,INFP,0.028496,0.15098,0.12300000000000001,0.72602,44,8,9,3
2713,INTP,0.04226800000000001,0.08336000000000002,0.0766,0.84004,18,7,10,2
2714,INTJ,0.217926,0.13096000000000002,0.049960000000000004,0.81908,29,12,0,17
2715,ENTP,0.17685199999999998,0.13798,0.0733,0.7887200000000001,37,7,12,0
2716,ENTJ,0.159892,0.15496,0.09086,0.7541800000000001,42,5,8,0
2717,INTJ,0.12306000000000004,0.12808,0.09136,0.7805,34,11,12,0
2718,INFJ,0.08473800000000001,0.10586000000000001,0.09480000000000002,0.79928,18,14,15,4
2719,INFP,0.28256200000000004,0.18962,0.09308000000000001,0.7173599999999999,27,4,3,0
2720,ENTP,0.380998,0.21804,0.048179999999999994,0.73378,28,11,9,1
2721,ENTJ,0.07114000000000001,0.13509999999999997,0.09759999999999999,0.7673200000000001,28,10,12,0
2722,INFJ,0.11033199999999999,0.09350000000000001,0.058059999999999994,0.8484400000000001,36,2,9,0
2723,ENFP,0.32563400000000003,0.17006,0.053380000000000004,0.7766600000000001,36,4,4,0
2724,ISTP,0.206994,0.10058,0.04462000000000001,0.8548399999999999,44,0,14,1
2725,ENFP,0.233508,0.1869,0.07306,0.7401000000000001,40,25,6,6
2726,INFP,0.5544739999999999,0.22662,0.038079999999999996,0.7352599999999999,46,13,14,0
2727,ENFP,0.40035,0.1554,0.04436,0.80022,33,7,16,3
2728,ISFP,0.03572599999999999,0.09034,0.07904000000000001,0.8306200000000001,10,2,8,8
2729,ENTJ,0.16716999999999999,0.11888,0.07036,0.81074,27,1,9,2
2730,INTJ,0.245704,0.1554,0.06459999999999999,0.77996,17,14,1,1
2731,ENTP,0.134412,0.11524,0.04612,0.8386199999999999,22,7,8,28
2732,ENTP,0.19927799999999998,0.13509999999999997,0.06888,0.7959999999999999,62,10,9,0
2733,ENFP,0.42838,0.17032,0.06066,0.7490600000000001,39,0,8,0
2734,ISFP,0.20678599999999997,0.16042,0.057940000000000005,0.78156,27,14,3,0
2735,INFP,0.07172600000000001,0.11442000000000002,0.127,0.75854,27,3,7,4
2736,ENTP,0.26315,0.17978000000000002,0.07343999999999999,0.7469,28,9,5,0
2737,ISFJ,0.261528,0.11789999999999999,0.04832,0.8338,48,7,4,1
2738,ISFJ,0.3427760000000001,0.17022,0.062240000000000004,0.76752,26,4,10,0
2739,INFJ,0.3163700000000001,0.20958,0.0791,0.7112999999999999,46,20,15,2
2740,INTP,0.148698,0.1538,0.07486000000000001,0.7714,23,0,9,0
2741,INFJ,0.16279400000000002,0.14129999999999998,0.06606,0.7926599999999999,10,59,37,2
2742,INFP,0.30271400000000004,0.14516,0.05686,0.7979400000000001,38,1,3,2
2743,ESTP,0.17251162790697674,0.13474418604651162,0.0603953488372093,0.804813953488372,26,6,4,2
2744,INFP,0.230212,0.13966,0.06874000000000001,0.7916200000000001,50,3,7,0
2745,INFJ,0.33726216216216215,0.23454054054054047,0.03437837837837838,0.7311081081081081,7,20,0,3
2746,INTP,0.20951578947368424,0.12723684210526312,0.035894736842105264,0.836921052631579,24,0,13,7
2747,INFP,0.36012,0.19772,0.04398,0.7583200000000001,24,16,10,0
2748,INTP,0.270262,0.1727,0.035,0.7922800000000001,25,2,7,4
2749,ENFP,0.204264,0.13888,0.07344,0.7876599999999999,43,5,18,0
2750,INFP,0.29952199999999995,0.18270000000000003,0.05854,0.7587799999999999,20,8,13,0
2751,ISFP,-0.0020839999999999947,0.1261,0.10864000000000001,0.76524,30,0,7,0
2752,ISTP,0.008364000000000005,0.06786,0.08470000000000001,0.84744,34,0,12,14
2753,INFJ,0.38221599999999994,0.17348,0.04642000000000001,0.7800999999999999,43,7,7,0
2754,INTJ,0.0879,0.10642,0.0944,0.7991799999999999,21,11,13,44
2755,INFJ,0.21584799999999998,0.1173,0.0602,0.82246,45,1,2,0
2756,INFJ,0.2993088888888889,0.13333333333333333,0.038622222222222224,0.8280666666666666,35,2,12,3
2757,INFJ,0.19150000000000003,0.13162000000000001,0.05840000000000001,0.8099799999999999,26,6,5,1
2758,ENTJ,0.398856,0.15678,0.052320000000000005,0.7909200000000002,40,4,8,2
2759,INTP,0.19251200000000002,0.15475999999999998,0.06924,0.7760600000000001,26,1,15,0
2760,ISFP,0.342154,0.17392000000000002,0.0697,0.75634,31,16,1,2
2761,ISFP,0.21036200000000002,0.20188000000000006,0.05859999999999999,0.7395,10,10,1,39
2762,INFJ,0.34242200000000006,0.15512000000000004,0.03368,0.81128,27,14,6,3
2763,INFP,0.28167200000000003,0.15756,0.08308,0.75938,62,8,9,2
2764,INFP,0.16326800000000002,0.12912,0.08336,0.7874800000000001,31,0,6,1
2765,ISTJ,0.14101666666666668,0.18627777777777776,0.049638888888888885,0.7640277777777779,9,0,8,5
2766,INFJ,0.275178,0.16286,0.067,0.7700999999999999,27,4,9,0
2767,ENFP,0.38821600000000006,0.1594,0.0343,0.8063400000000001,71,31,9,0
2768,INTJ,0.28903400000000007,0.11182,0.049620000000000004,0.83854,52,0,12,0
2769,ENTP,0.128282,0.13241999999999998,0.07432,0.7933399999999999,27,17,18,1
2770,INFP,0.08064600000000001,0.12743999999999997,0.12112,0.75142,47,11,5,0
2771,ISTJ,0.336494,0.16333999999999999,0.06481999999999999,0.7718199999999998,34,1,4,0
2772,INFP,0.26921599999999996,0.22734,0.08936,0.6832600000000001,42,32,6,0
2773,INTJ,0.186116,0.11172,0.047639999999999995,0.8405999999999999,48,6,16,0
2774,INFP,0.271318,0.15620000000000003,0.07315999999999999,0.7706199999999999,32,2,4,2
2775,INTJ,0.22449200000000002,0.14396,0.055099999999999996,0.8009400000000001,31,3,10,15
2776,INFP,0.17074199999999998,0.12858,0.05704000000000001,0.81438,30,1,8,2
2777,ISTP,0.164098,0.13606000000000001,0.07838,0.7857,39,2,3,0
2778,ENFP,0.608966,0.2599,0.02036,0.7197199999999999,29,61,9,2
2779,ISTJ,0.071582,0.12325999999999998,0.08888,0.7878200000000001,22,0,16,1
2780,INFP,0.150116,0.10856,0.05716,0.8342799999999998,29,1,7,15
2781,ISTJ,0.09138571428571428,0.10492857142857143,0.07726190476190477,0.8178333333333333,21,2,7,0
2782,ISFJ,0.297712,0.14436,0.05203999999999999,0.80362,43,4,10,1
2783,INFJ,0.395778,0.24162000000000003,0.054560000000000004,0.7038600000000002,27,9,11,6
2784,INFP,0.21774799999999994,0.16654,0.08372,0.7497600000000001,32,31,6,2
2785,ENTP,0.23802571428571428,0.15940000000000001,0.07191428571428572,0.7687142857142857,37,25,5,0
2786,INFJ,0.237158,0.13096000000000002,0.06177999999999999,0.8071999999999998,43,3,6,0
2787,INTP,0.070558,0.07196000000000001,0.057300000000000004,0.8707799999999999,14,4,4,16
2788,INFJ,0.2256611111111111,0.17294444444444446,0.09305555555555554,0.7338888888888888,13,0,0,0
2789,ENFP,0.40521276595744676,0.2024042553191489,0.0492127659574468,0.748404255319149,28,4,5,8
2790,ISTJ,0.04289199999999999,0.11399999999999999,0.06602000000000001,0.8199799999999999,8,1,4,13
2791,ENTP,0.23479400000000003,0.14812,0.07558,0.7762800000000002,42,4,8,0
2792,ENTP,0.19212600000000002,0.14506,0.05672,0.79822,16,15,20,18
2793,ENTP,0.301426,0.13888,0.04356000000000001,0.8176000000000001,39,4,13,0
2794,INTP,0.238796,0.1244,0.0686,0.80696,39,2,4,5
2795,INFJ,0.242736,0.15095999999999998,0.05114,0.79792,37,2,6,3
2796,INFJ,0.33410799999999996,0.13950000000000004,0.0587,0.8017399999999998,45,11,6,0
2797,INTP,-0.06772600000000001,0.13836,0.1487,0.71292,6,6,6,3
2798,INFJ,0.37305999999999995,0.21562,0.04134,0.74314,29,27,7,7
2799,ENTP,0.14635800000000002,0.07554,0.04918,0.8752999999999999,43,1,2,0
2800,ISTJ,0.2033086956521739,0.23654347826086958,0.0642608695652174,0.6991086956521739,32,1,1,3
2801,ENTP,0.07838541666666667,0.147,0.009125,0.843875,1,0,1,11
2802,INTP,0.163504,0.12961999999999999,0.05272,0.81766,26,4,11,0
2803,INTJ,0.090332,0.12844,0.07114,0.8003,30,0,7,2
2804,ENTP,0.20482999999999996,0.15878,0.06943999999999999,0.7717800000000001,28,4,11,1
2805,INFJ,0.17674200000000004,0.1374,0.07874,0.78386,20,27,10,3
2806,INTP,0.089404,0.09993999999999997,0.08582000000000002,0.81416,29,2,6,10
2807,INFP,0.17905000000000001,0.14517999999999998,0.09306,0.76182,29,7,7,2
2808,INFP,0.11504090909090908,0.11131818181818182,0.06995454545454545,0.818681818181818,30,1,13,0
2809,INFP,0.17767,0.17636,0.07942,0.74426,18,8,3,4
2810,INFJ,0.135556,0.13629999999999998,0.09937999999999998,0.76426,41,1,6,7
2811,INTP,0.19737,0.10944000000000001,0.056319999999999995,0.83422,43,16,38,0
2812,INFJ,0.4147309523809523,0.2280714285714286,0.06645238095238096,0.7054285714285715,25,8,5,0
2813,ENFP,0.287154,0.16692,0.05838,0.7746800000000001,35,2,8,0
2814,INFJ,0.15487199999999998,0.11599999999999999,0.07076,0.81322,47,9,17,2
2815,INFP,0.279588,0.15557999999999997,0.06269999999999999,0.7817799999999999,53,12,6,2
2816,INFJ,0.24267,0.16142,0.11596000000000001,0.72268,24,4,7,2
2817,INFP,0.0021300000000000065,0.09282000000000001,0.04556000000000001,0.86162,9,1,2,12
2818,INTJ,0.21540200000000007,0.12059999999999998,0.04124,0.8381400000000001,34,9,27,4
2819,INFP,0.228458,0.13119999999999998,0.07400000000000001,0.7947399999999999,53,0,1,0
2820,ENTP,0.05822600000000001,0.10162,0.13866,0.75972,7,4,3,3
2821,ENFJ,0.268808,0.1998,0.09738000000000001,0.7028399999999999,32,7,6,0
2822,INTJ,0.17742199999999997,0.12844,0.07392,0.7975999999999999,28,4,11,4
2823,INFP,0.330244,0.1806,0.07374,0.7456999999999999,29,1,3,4
2824,INFJ,0.28411800000000004,0.11853999999999999,0.048600000000000004,0.8328800000000001,42,7,12,0
2825,INFJ,0.264906,0.14666,0.057699999999999994,0.7956799999999999,28,5,4,3
2826,INFJ,0.086408,0.12594000000000002,0.08874,0.7852200000000003,31,36,2,7
2827,INTP,0.32903750000000004,0.17845833333333336,0.0825625,0.7390208333333333,40,3,9,1
2828,INFJ,0.147576,0.13244,0.0818,0.7857599999999999,33,4,7,2
2829,ISFP,0.310738,0.19854,0.049159999999999995,0.7523400000000001,14,14,13,29
2830,INTJ,0.11148,0.10916000000000001,0.05678,0.8340800000000002,20,5,8,6
2831,INTJ,0.15122800000000003,0.11473999999999998,0.06384000000000001,0.8214200000000002,40,3,12,1
2832,INTP,0.14898399999999998,0.11559999999999998,0.05464,0.8297399999999999,22,4,6,7
2833,ENTP,0.25067619047619044,0.16176190476190477,0.08533333333333334,0.7528809523809523,26,1,11,0
2834,INFP,0.38816799999999996,0.23077999999999999,0.048780000000000004,0.7204999999999999,23,24,10,1
2835,INTP,0.04578399999999999,0.0975,0.04104,0.8613999999999998,7,0,0,3
2836,ENFP,0.28952000000000006,0.1384,0.06184,0.7998000000000001,40,11,7,2
2837,ISTP,-0.03456200000000002,0.11154,0.0911,0.79732,6,2,7,2
2838,INTP,0.10759,0.12062,0.07138000000000001,0.80794,34,0,9,5
2839,ENFP,0.38638200000000006,0.26516,0.04552,0.68932,37,4,0,0
2840,ISFJ,0.19436599999999998,0.1502,0.07258,0.7572,35,4,17,1
2841,INFP,0.20468,0.18626,0.0864,0.72744,9,18,0,6
2842,INFP,0.421376,0.20654,0.06875999999999999,0.7245999999999999,33,8,6,0
2843,ENTP,0.19855599999999998,0.11844000000000002,0.05478000000000001,0.82682,30,1,10,0
2844,INFP,0.25311,0.14422,0.05484000000000001,0.8009399999999998,27,2,16,1
2845,ESFP,0.393434,0.22650000000000003,0.05720000000000001,0.7162799999999998,41,12,9,0
2846,ENTP,0.3130339999999999,0.16968,0.0557,0.7746200000000001,40,9,25,2
2847,INFP,0.08302800000000002,0.14274,0.12606,0.7312400000000001,32,1,11,0
2848,INFJ,0.33034199999999997,0.18624,0.039740000000000004,0.77406,18,25,15,1
2849,ENTP,0.16626734693877548,0.15626530612244896,0.06483673469387755,0.7788571428571429,14,15,7,5
2850,INFJ,0.37823600000000007,0.18714000000000003,0.0393,0.77358,25,6,14,2
2851,ENFJ,0.48062999999999995,0.26030000000000003,0.076,0.66374,24,8,3,1
2852,INFP,0.172346,0.12374,0.057120000000000004,0.8191200000000001,48,5,6,1
2853,ENTP,0.14062,0.15546000000000001,0.09796,0.7465999999999999,39,6,7,0
2854,INFJ,0.299292,0.13049999999999998,0.07366,0.75586,38,2,6,0
2855,INFJ,0.013512,0.10304,0.10418,0.7928000000000001,36,0,9,0
2856,INTJ,0.13713,0.10217999999999999,0.07762,0.8201599999999999,36,0,4,10
2857,INFP,0.21671836734693875,0.234530612244898,0.0836734693877551,0.6818163265306124,18,16,6,0
2858,INFJ,0.23286,0.13472,0.03832,0.82696,37,21,5,4
2859,INTP,-0.016122222222222232,0.08413333333333332,0.09002222222222223,0.8257999999999999,21,17,6,0
2860,INTP,0.18403,0.16865000000000002,0.09925,0.7320749999999999,24,4,7,1
2861,INFP,0.26809399999999994,0.16849999999999998,0.07996,0.7515599999999999,40,9,5,6
2862,ENFJ,0.12412200000000001,0.12616,0.049879999999999994,0.82394,28,21,2,23
2863,INFJ,0.142964,0.11954000000000001,0.07244,0.80808,36,6,0,3
2864,ENTP,0.136992,0.14118,0.09098,0.7678,14,0,4,0
2865,ISTP,0.08775600000000003,0.13074,0.08724,0.78204,9,1,7,4
2866,INTP,0.32199799999999995,0.18376,0.08606000000000001,0.7301000000000001,38,5,9,0
2867,ISFP,0.18122045454545452,0.14377272727272722,0.10013636363636365,0.7560000000000001,15,0,7,2
2868,ENTP,0.10256599999999999,0.08322000000000002,0.047720000000000005,0.86906,40,0,10,0
2869,INFP,0.20819599999999996,0.14395999999999998,0.06514,0.79086,44,3,15,5
2870,INFP,0.15735000000000002,0.16602,0.08013999999999999,0.7538000000000001,14,13,11,8
2871,ENTP,-0.010070000000000003,0.11918,0.11739999999999999,0.7435,34,5,15,1
2872,ENTP,0.21814600000000003,0.13866,0.07150000000000001,0.7897799999999999,44,4,2,1
2873,INTJ,0.08535999999999999,0.12864,0.11245999999999999,0.7588399999999998,9,0,9,2
2874,ENTP,0.2811613636363636,0.16372727272727272,0.13393181818181818,0.7023863636363635,25,30,7,0
2875,INFJ,0.08900000000000001,0.12652,0.09736,0.7761600000000002,29,0,6,3
2876,INTJ,0.02973125,0.06225,0.0489375,0.88875,0,0,1,8
2877,ENTP,0.18172200000000005,0.16164,0.08792,0.75046,30,14,11,3
2878,INFJ,0.08049400000000001,0.12397999999999999,0.09584000000000001,0.7802,32,5,3,0
2879,ESTJ,0.18713508771929827,0.14610526315789477,0.04498245614035088,0.7212105263157895,34,11,26,2
2880,ENTP,0.119382,0.1384,0.0809,0.7807600000000001,28,18,14,3
2881,ENFP,0.37635799999999997,0.19514000000000004,0.04849999999999999,0.73638,45,12,14,1
2882,INFJ,0.24435400000000002,0.14104,0.05569999999999999,0.80334,30,2,4,11
